data,retorno_liquido,retorno_bruto,custo,giro,alavancagem,n_views,n_taticas,benchmark_spy,acum_estrategia,acum_spy,excesso_acum,dd_estrategia,dd_spy
2026-02-09,0.0013085903279356,0.0013389569234372074,3.036659550160737e-05,0.15183297750803684,2.0,1,1,0.004821726716577324,0.23667345356922165,0.16866544229453106,0.06800801127469058,0.0,-0.0022142678676543293
2026-02-10,0.0015738434153635334,0.0015971830343237145,2.3339618960181165e-05,0.11669809480090582,2.0,1,1,-0.002637057770699447,0.23861978394107664,0.1655836040085803,0.07303617993249634,0.0,-0.004845486486066974
2026-02-11,0.00494265614059715,0.004972861876142319,3.020573554516837e-05,0.15102867772584183,2.0,2,1,-0.00023112214366449724,0.2447418556220382,0.16531421182740158,0.07942764379463663,0.0,-0.005075488730507782
2026-02-12,-0.006563006864046902,-0.006495410514670451,6.759634937645109e-05,0.3379817468822554,2.0,1,1,-0.01544885969788623,0.2365726062796243,0.14731143606492725,0.08926117021469704,-0.006563006864046872,-0.02044593791509819
2026-02-13,0.00592835197367492,0.005933912456158678,5.560482483758026e-06,0.02780241241879013,1.9999999999999998,1,1,0.0007044991031190939,0.24390344393065466,0.1481197159426333,0.09578372798802137,-0.0006735627050674653,-0.01975584295690269
2026-02-17,-0.0026525601396832667,-0.0026222993163115644,3.0260823371702296e-05,0.15130411685851147,2.0,1,1,0.0016134830190519533,0.24060391523766933,0.14997218760814546,0.09063172762952387,-0.0033243361791678305,-0.01817423565498877
2026-02-18,0.001537439287657551,0.001570937611083549,3.349832342599796e-05,0.1674916171299898,2.0,1,1,0.005037707550576753,0.24251126843737736,0.15576541118061238,0.08674585725676498,-0.0017920078565576425,-0.013228084588597033
2026-02-19,-0.0006795172132019099,-0.0006764250873218913,3.0921258800186867e-06,0.015460629400093432,2.0,1,1,-0.002637344323549562,0.24166696064287674,0.15271725983408024,0.0889497008087965,-0.0024703073695748756,-0.01583054189834543
2026-02-20,0.007470508026862959,0.007476689065886527,6.181039023568277e-06,0.030905195117841386,1.9999999999999998,1,1,0.00723184928909637,0.25094284363904973,0.1610535373301405,0.08988930630890923,0.0,-0.008713176702422554
2026-02-23,-0.0029194668296530783,-0.0028611647627970064,5.8302066856071947e-05,0.2915103342803597,2.0,1,1,-0.010211366038766267,0.24729075750125373,0.14919759466985805,0.09809316283139569,-0.002919466829652939,-0.018835569304520017
2026-02-24,0.007435023786926955,0.007448352264756792,1.332847782983706e-05,0.0666423891491853,2.0,1,1,0.00726847527019836,0.25656439395248976,0.15755050896728728,0.09901388498520247,0.0,-0.01170399990401172
2026-02-25,0.0019215841222445097,0.0019274263312306899,5.842208986180274e-06,0.02921104493090137,2.0,1,1,0.008438306300538434,0.2589789881404865,0.16731827472029748,0.091660713420189,0.0,-0.003364455539604738
2026-02-26,-0.0024147208140822443,-0.002409604646972562,5.116167109682349e-06,0.025580835548411743,2.0000000000000004,1,1,-0.005554445579207146,0.2559389053733314,0.16083446888974962,0.0951044364835818,-0.0024147208140822274,-0.008900213433613469
2026-02-27,0.00469052712566875,0.004697142478269845,6.6153526010958245e-06,0.03307676300547912,2.0,1,1,-0.004801940858611298,0.2618299208771677,0.1552602104235037,0.10656971045366403,0.0,-0.013659415993687474
2026-03-02,-0.005933436526315517,-0.0058806926316675,5.2743894648015914e-05,0.26371947324007955,2.0,1,1,0.0005685229860479257,0.2543429331346374,0.1559170024079961,0.0984259307266413,-0.005933436526315394,-0.013098658699607801
2026-03-03,-0.010125165881825552,-0.010038455893318627,8.670998850692547e-05,0.4335499425346273,2.0,1,1,-0.008814250912485666,0.2416425028639535,0.14572845991476369,0.09591404294918981,-0.015998525379062878,-0.02179745474769823
2026-03-04,0.001102010742667889,0.0011532065940356112,5.119585136772218e-05,0.2559792568386109,2.0,1,1,0.007055355958297538,0.24301080624066262,0.15381198203101443,0.0891988242096482,-0.014914145183229532,-0.014895887591630519
2026-03-05,-0.013396629014847223,-0.013387995176554542,8.633838292681451e-06,0.04316919146340725,2.0,1,1,-0.005575670491907769,0.2263586516080105,0.1473787066095944,0.0789799449984161,-0.028110974927983312,-0.020388503522642876
2026-03-06,-0.005984692199971598,-0.005921385215797475,6.330698417412359e-05,0.31653492087061796,2.0,2,1,-0.013107129910862048,0.21901927255136444,0.13233986484510551,0.08667940770625893,-0.03392743159556977,-0.03322839866914562
2026-03-09,0.004648973619088001,0.004726004378309574,7.703075922157223e-05,0.38515379610786116,2.0,1,1,0.00875996152231262,0.22468646099061562,0.14225911849132933,0.0824273424992863,-0.02943618571093287,-0.024759516640622814
2026-03-10,-0.005010992986384248,-0.004886107642850975,0.000124885343533273,0.6244267176663649,2.0,1,1,-0.0016070155764896787,0.21854956572407191,0.14042349029552637,0.07812607542854555,-0.03429967417717372,-0.026326743288204613
