data,r_bruto,r_mercado,r_tilt,custo,carrego,r_liquido,giro,alavancagem,alavancagem_pedida,r_pedido,n_views,n_taticas,cenario,r_benchmark
2026-04-16,0.0024573476469376154,0.002457347646937613,2.168404344971009e-18,1.1144495865491223e-18,0.0,0.002457347646937614,5.572247932745611e-15,1.0000000000000004,1.0000000000000004,0.0024573476469376154,0,0,tilt ≤ 1,0.002457347646937613
2026-04-17,0.012085686101644068,0.012085686101644066,1.734723475976807e-18,1.0132880051753163e-18,0.0,0.012085686101644066,5.066440025876581e-15,1.0000000000000024,1.0000000000000024,0.012085686101644068,0,0,tilt ≤ 1,0.012085686101644066
2026-04-20,-0.0019997351150195,-0.0019997351150194964,-3.469446951953614e-18,1.3817477610342436e-19,0.0,-0.0019997351150195,6.908738805171218e-16,1.0000000000000027,1.0000000000000027,-0.0019997351150195,0,0,tilt ≤ 1,-0.0019997351150194964
2026-04-21,-0.006546892848539487,-0.006546892848539487,0.0,6.885580943497193e-19,0.0,-0.006546892848539488,3.442790471748596e-15,1.0,1.0,-0.006546892848539487,0,0,tilt ≤ 1,-0.006546892848539487
2026-04-22,0.010749727317280059,0.01012671209511895,0.0006230152221611083,0.0002,0.0,0.010549727317280058,1.0,2.0,794.5890434375002,0.5045447662969557,2,0,tilt ≤ 1,0.01012671209511895
2026-04-23,-0.0020864762402745462,-0.0038807408683984024,0.0017942646281238562,1.9568068161548556e-06,0.0,-0.002088433047090701,0.009784034080774278,2.0,893.2994623417093,1.597140622105265,2,1,tilt ≤ 1,-0.0038807408683984024
2026-04-24,0.008795831776183087,0.007749309237231605,0.0010465225389514818,9.692522348196187e-07,0.0,0.008794862523948267,0.004846261174098093,1.9999999999999998,977.1619549768255,1.0293247967874222,2,0,tilt ≤ 1,0.007749309237231605
2026-04-27,0.002811100735043643,0.001722787837563633,0.0010883128974800101,1.5825550627021932e-06,0.0,0.0028095181799809407,0.007912775313510966,1.9999999999999998,1284.3342703567027,1.3983920260448612,2,0,tilt ≤ 1,0.001722787837563633
2026-04-28,-0.005383874052767084,-0.004865992267119479,-0.0005178817856476055,1.0771406447561007e-06,0.0,-0.00538495119341184,0.005385703223780503,2.0,1419.6005542700016,-0.7395333804331508,2,1,tilt ≤ 1,-0.004865992267119479
2026-04-29,-0.0003944794580782102,-0.00015450932498595193,-0.0002399701330922583,1.1857015053998654e-06,0.0,-0.00039566515958361007,0.0059285075269993265,2.0,1441.7805457501136,-0.34589880864537736,1,0,tilt ≤ 1,-0.00015450932498595193
2026-04-30,0.011301752446060822,0.009949633527564838,0.0013521189184959835,8.227230666696215e-07,0.0,0.011300929722994152,0.004113615333348107,2.0,1805.420649667495,2.449740930867798,2,0,tilt ≤ 1,0.009949633527564838
2026-05-01,0.004197526021898709,0.0027690952923506984,0.0014284307295480102,2.1609118193202624e-06,0.0,0.004195365110079389,0.010804559096601312,1.9991868998994506,2118.1368161723713,3.029413346915723,2,1,tilt ≤ 1,0.0027690952923506984
2026-05-04,-0.003013967708286787,-0.0036633921467564834,0.0006494244384696963,5.004397024194054e-07,0.0,-0.0030144681479892066,0.002502198512097027,1.9991429990611655,2246.584049366013,1.4559246364601024,2,1,tilt ≤ 1,-0.0036633921467564834
2026-05-05,0.00606314461929198,0.008022228723942426,-0.001959084104650446,5.513095889505927e-07,0.0,0.0060625933097030295,0.0027565479447529636,1.9992791534054124,2769.404180745411,-5.419426755139544,2,1,tilt ≤ 1,0.008022228723942426
2026-05-06,0.012474257090652044,0.013899399692774095,-0.001425142602122051,1.8764470590751052e-06,0.0,0.012472380643592969,0.009382235295375525,1.9999999999999998,3405.0615611910143,-4.8373737514066395,2,0,tilt ≤ 1,0.013899399692774095
2026-05-07,-0.002549553501620035,-0.0030660824190705815,0.0005165289174505466,2.252963020013271e-06,0.0,-0.0025518064646400484,0.011264815100066354,1.9995105532865896,4600.326779786517,2.3736522579802704,2,1,tilt ≤ 1,-0.0030660824190705815
2026-05-08,0.009384718145470637,0.00825609701116825,0.0011286211343023867,1.513648778397073e-06,0.0,0.00938320449669224,0.007568243891985365,1.9918628488532304,7310.405851126698,8.260063262054887,3,0,tilt ≤ 1,0.00825609701116825
2026-05-11,0.003234830771833787,0.002277563042387465,0.0009572677294463223,2.958556995369759e-06,0.0,0.0032318722148384172,0.014792784976848794,1.9999999999999996,15610.96234045789,14.945190769435115,2,0,tilt ≤ 1,0.002277563042387465
2026-05-12,0.0006597495437249804,-0.0015149526145865622,0.0021747021583115424,0.00033574069187682505,0.0,0.0003240088518481553,1.6787034593841252,1.6659686284348716,4.609142383961857,0.010270602135194104,2,0,tilt ≤ 1,-0.0015149526145865622
2026-05-13,0.006152717496133991,0.00559483781461112,0.000557879681522871,0.0003360819796879294,0.0,0.005816635516446062,1.680409898439647,2.0,430.78678954662,0.24536415508961654,2,0,tilt ≤ 1,0.00559483781461112
2026-05-14,0.006809236387184273,0.0078943149045545,-0.0010850785173702271,1.630696607798831e-06,0.0,0.006807605690576474,0.008153483038994155,2.0,469.677528826285,-0.5006576031990126,2,0,tilt ≤ 1,0.0078943149045545
2026-05-15,-0.01086017159729349,-0.012029343756796207,0.0011691721595027162,2.4488279921734013e-06,0.0,-0.010862620425285664,0.012244139960867005,1.9999999999999998,536.9290278247304,0.6145639550452346,2,0,tilt ≤ 1,-0.012029343756796207
2026-05-18,-0.0012596657032763932,-0.0007035093177317764,-0.0005561563855446168,1.6828393960614668e-06,0.0,-0.0012613485426724545,0.008414196980307334,1.9999999999999998,745.6147881306688,-0.41482577850755536,2,0,tilt ≤ 1,-0.0007035093177317764
2026-05-19,-0.007463214527911461,-0.0066607880874933745,-0.0008024264404180867,2.053850631777838e-06,0.0,-0.007465268378543239,0.010269253158889189,1.9969762023493907,744.6466615374056,-0.6049873845145832,2,1,tilt ≤ 1,-0.0066607880874933745
2026-05-20,0.009215681301633662,0.010248994582563453,-0.0010333132809297908,1.2097449421317244e-06,0.0,0.00921447155669153,0.0060487247106586215,2.0,973.6509113263735,-0.9948041097994407,2,0,tilt ≤ 1,0.010248994582563453
2026-05-21,0.0010447441103522026,0.0019830877010671433,-0.0009383435907149406,1.6299342379636938e-06,0.0,0.001043114176114239,0.008149671189818469,1.9977780212192922,1042.1316200852066,-0.9768327822779792,2,1,tilt ≤ 1,0.0019830877010671433
2026-05-22,0.0025948984691850623,0.003931549076803931,-0.0013366506076188684,1.169919698779904e-06,0.0,0.0025937285494862824,0.0058495984938995195,1.9978462566702022,1100.2549444659126,-1.4680615415868408,2,1,tilt ≤ 1,0.003931549076803931
2026-05-26,0.008340993907977332,0.006638641352187502,0.0017023525557898298,9.032159555598709e-07,0.0,0.008340090692021773,0.0045160797777993545,1.9976428984465668,1054.1095550472892,1.8028070890252101,2,1,tilt ≤ 1,0.006638641352187502
2026-05-27,-0.0004033876373045138,-0.0001732421647460125,-0.0002301454725585013,1.1306345490630524e-06,0.0,-0.00040451827185357685,0.0056531727453152615,1.9975420227148641,1165.4759707141516,-0.26863240567289093,2,1,tilt ≤ 1,-0.0001732421647460125
2026-05-28,0.006197522203247084,0.005516578600909927,0.0006809436023371565,6.735921137683767e-07,0.0,0.006196848611133315,0.0033679605688418835,1.9969629419222912,945.3191322038385,0.6499065374443631,2,1,tilt ≤ 1,0.005516578600909927
2026-05-29,0.015708054531067914,0.0024914048034492264,0.013216649727618688,0.00039744877603362626,0.0,0.015310605755034288,1.9872438801681311,1.3535994621479166,3.6103623410474257,0.06342494898247714,0,1,tilt ≤ 1,0.0024914048034492264
