data,ir,beta
2026-04-21,0.7747257408547932,0.8094606642030558
2026-04-22,0.7355078419910427,0.8070713650725645
2026-04-23,0.7269435715673009,0.80427271796731
2026-04-24,0.8793985565104233,0.80706412106957
2026-04-27,0.9613679069504714,0.8070490260677706
2026-04-28,0.94064400934872,0.8086600391105304
2026-04-29,0.5730012899721005,0.809312767616416
2026-04-30,0.4383212949821876,0.8156932282079302
2026-05-01,0.42138470680288015,0.8169204274680187
2026-05-04,0.8871341472158198,0.8219558032883638
2026-05-05,0.12387517789916516,0.8356526230889627
2026-05-06,-0.6825372698855147,0.8472167879453946
2026-05-07,-0.8611131694751907,0.850033028880125
2026-05-08,-0.6113365297438457,0.8521026823969131
2026-05-11,-0.30760152986846695,0.8543828243043798
2026-05-12,-0.47515407361760986,0.8562763542887264
2026-05-13,-0.8336985740751087,0.8584627718874188
2026-05-14,-1.6270084326371461,0.881149790295301
2026-05-15,-1.9712974211196455,0.8821108779130203
2026-05-18,-1.7073501123627302,0.8824687578206882
2026-05-19,-1.5104913035780656,0.8865237770409018
2026-05-20,-1.7496674792057307,0.8884022930896717
2026-05-21,-1.8417391338213747,0.8869304593178435
2026-05-22,-2.6390414557405926,0.9009820397635002
2026-05-26,-2.5039438871184156,0.9022952135552805
2026-05-27,-2.0562609091658843,0.9096560922255684
2026-05-28,-2.2871844705993176,0.9148125522489275
2026-05-29,-1.8754457157525497,0.9289891337848251
2026-06-01,-1.4199960773305653,0.92768349446429
2026-06-02,-1.3602265819561734,0.9238542243780093
2026-06-03,-0.9229109437420409,0.9308832104121398
2026-06-04,-0.3214527275671802,0.918741438708184
2026-06-05,-1.2165148136739334,0.9563383171102743
2026-06-08,-0.7916331602135606,0.9612802475375886
2026-06-09,-0.49329198668338553,0.9596103531447452
2026-06-10,0.6691018242082318,0.9402162615274078
2026-06-11,0.3568638921456056,0.9418204126144055
2026-06-12,-0.00659279098315389,0.9443559815538503
2026-06-15,-0.12493787134196281,0.9426737276143428
2026-06-16,-0.12483305245386948,0.9410551564146834
2026-06-17,-0.9639338316271391,0.9643309855017179
2026-06-18,-0.894259006755063,0.9608395583738137
2026-06-22,-0.7083371751192326,0.9554236760403537
2026-06-23,-0.4890138438825058,0.957533291981188
2026-06-24,-0.3134329937742598,0.9559728490254662
2026-06-25,-0.4045582396213208,0.9561010231305369
2026-06-26,-0.3769939172135558,0.9522799914660871
2026-06-29,-0.5620583805456995,0.9507865208606213
2026-06-30,-0.45956446855762945,0.9497587086254003
2026-07-01,1.2869315545813167,0.9876730023283173
2026-07-02,1.1716393111149246,0.989425086114139
2026-07-06,1.0582440528128547,0.9873721364241714
2026-07-07,0.8828736022966932,0.9878178066692362
2026-07-08,1.6270711804605704,0.9852875417196368
2026-07-09,1.6379087718951886,0.9856363450847618
2026-07-10,1.3855577825997125,0.9830179623060957
2026-07-13,1.4013800741512397,0.9836869469687978
2026-07-14,0.352866803744981,0.9785847315808243
2026-07-15,0.3278349006021857,0.9779660817994353
2026-07-16,0.3795377469309868,0.9771665560381638
2026-07-17,0.28893247697204194,0.9808475294124582
2026-07-20,0.2531188026866523,0.9807321454513835
2026-07-21,0.28724470103934446,0.9815728927655298
2026-07-22,0.29332835919960537,0.9812276098503042
2026-07-23,0.34641974990019714,0.9776453475738889
2026-07-24,0.2162855772978618,0.9794483817639388
2026-07-27,0.3200538106668769,0.9772464868800248
2026-07-28,0.20485584361411888,0.9768225674936147
2026-07-29,-0.16019603155886925,0.9957438707725412
2026-07-30,-1.5028996666159704,0.9109775857258661
2026-07-31,-1.594279022391367,0.9068542451787694
2026-08-03,-1.6782600417120177,0.9108238634541187
2026-08-04,-1.7162015314069803,0.918189920358347
2026-08-05,-1.605175899874517,0.9193564877144529
2026-08-06,-1.5237714351800964,0.9190997849075032
