view,mercado,conditionId,n_trades_total,bateu_cap_20k,t_cobertura_min,primeiro_slot,ultimo_slot
2.2,CPI_july-inflation-us-monthly-20260714151042665_will-monthly-inflation-decrease-by-0pt4,0xdf6600318616976361cec04ea9014be18b2e71593f4e0c59393bec345b9b86ef,120,não,2026-07-15 07:21:07,2026-07-15 00:00,2026-07-29 12:00
2.2,CPI_july-inflation-us-monthly-20260714151042665_will-monthly-inflation-decrease-by-0pt5,0x4fb822b59cbe5ec0ff3239075bddd38babb83abe8ad3894f65e0b5a2b71ede50,112,não,2026-07-14 21:08:53,2026-07-15 00:00,2026-07-28 12:00
2.2,CPI_july-inflation-us-monthly-20260714151042665_will-monthly-inflation-decrease-by-0pt6,0xfe8eede95ceb57ece81308289903b92e6bc4c47b384c9ba21d0be27a44506a0e,114,não,2026-07-14 21:08:53,2026-07-15 00:00,2026-07-29 12:00
2.2,CPI_july-inflation-us-monthly-20260714151042665_will-monthly-inflation-decrease-by-0pt7,0x3da407646064d05633a89299f41aef21aed3a31b6b24dc9616d0bcf19ecdf5d3,205,não,2026-07-14 21:08:53,2026-07-15 00:00,2026-07-29 12:00
2.2,CPI_july-inflation-us-monthly-20260714151042665_will-monthly-inflation-increase-by-0pt1,0xba34845900c0aecb16c30580a09d757e12ca13e69a10a56c327c41548412573d,1134,não,2026-07-14 23:07:37,2026-07-15 00:00,2026-07-28 12:00
2.2,CPI_july-inflation-us-monthly-20260714151042665_will-monthly-inflation-stay-flat-0pt0-in,0xae4336dbd502b44adcf6d641aab92d2cc4a63b90a5130467d13946e4f26390cb,576,não,2026-07-14 21:08:53,2026-07-15 00:00,2026-07-29 12:00
2.2,CPI_june-inflation-monthly_will-monthly-inflation-increase-by-0pt0,0x2d2170d58575d9f292342dc6d628716ca0369ea4200ce721a7cdc8b4405ff309,2392,não,2025-06-12 01:08:59,2025-06-12 00:00,2025-07-15 12:00
2.2,CPI_june-inflation-monthly_will-monthly-inflation-increase-by-0pt1,0x2420008d1b5e9f6a8048a6499c090e035678baa4f963793033af3aa05ad8d145,2186,não,2025-06-11 22:48:16,2025-06-12 00:00,2025-07-15 12:00
2.2,CPI_june-inflation-monthly_will-monthly-inflation-increase-by-0pt2,0x84356d5bc0f4ab25e70869ace61e562219d9bfdbd57773f6591c74e085388778,2150,não,2025-06-12 00:33:27,2025-06-12 00:00,2025-07-15 12:00
2.2,CPI_june-inflation-monthly_will-monthly-inflation-increase-by-0pt3,0xb2d7cbed366ad8d308771f07b80c5786925b2ff96227aa3406dc045816764d37,2189,não,2025-06-12 01:08:59,2025-06-12 00:00,2025-07-15 12:00
2.2,CPI_june-inflation-monthly_will-monthly-inflation-increase-by-0pt4,0x1a6a1200a90568609a23a428e0688057cb25d0212638aef192be1689cc2f6f81,2756,não,2025-06-12 01:08:47,2025-06-12 00:00,2025-07-15 12:00
2.2,CPI_june-inflation-us-monthly-20260610151033433_will-monthly-inflation-increase-by-0pt1,0xb61d7dc98dbcd7cd351c20b149c3966fbd82bd1421463f11a49c2aad279b16fe,217,não,2026-06-10 21:04:01,2026-06-11 00:00,2026-07-14 12:00
